Position,Name,Party,State of Birth,Born,Died,Religion,Age at inaguration,Age at death,Notes,Occupation,College,Years in office,Link,Term start,Term end
20,Garfield,Republican,Ohio,11/19/1831,9/19/1881,Disciples of Christ,49,49,Assassinated in office,Lawyer,Williams,0.5,jamesgarfield,1881,1881
21,Arthur,Republican,Vermont,10/5/1829,11/18/1886,Episcopalian,50,56,,Lawyer,Union,3,chesterarthur,1881,1885
22,Cleveland,Democratic,New Jersey,3/18/1837,1908/6/24,Presbyterian,47,71,,Lawyer,None,4,grovercleveland24,1885,1889
23,B. Harrison,Republican,Ohio,8/20/1833,1901/3/13,Presbyterian,55,67,,Lawyer,Miami,4,benjaminharrison,1889,1893
24,Cleveland,Democratic,New Jersey,3/18/1837,1908/6/24,Presbyterian,55,71,,Lawyer,None,4,grovercleveland22,1893,1897
25,McKinley,Republican,Ohio,1/29/1843,1901/9/14,Methodist,54,58,Assassinated in office,Lawyer,Allegheny College,4,williammckinley,1897,1901
26,T. Roosevelt,Republican,New York,10/27/1858,1919/1/6,Reformed Dutch,42,60,,Author,Harvard,8,theodoreroosevelt,1901,1909
27,Taft,Republican,Ohio,9/15/1857,1930/3/8,Unitarian,51,72,,Lawyer,Yale,4,williamhowardtaft,1909,1913
28,Wilson,Democratic,Virginia,12/28/1856,1924/2/3,Presbyterian,56,67,,Educator,Princeton,8,woodrowwilson,1913,1921
29,Harding,Republican,Ohio,11/2/1865,1923/8/2,Baptist,55,57,Died in office,Editor,None,2,warrenharding,1921,1923
30,Coolidge,Republican,Vermont,7/4/1872,1933/1/5,Congregationalist,51,60,,Lawyer,Amherst,6,calvincoolidge,1923,1929
31,Hoover,Republican,Iowa,8/10/1874,1964/10/20,Quaker,54,90,,Engineer,Stanford,4,herberthoover,1929,1933
32,F. D. Roosevelt,Democratic,New York,1/30/1882,1945/4/12,Episcopalian,51,63,Died in office,Lawyer,Harvard,12,franklindroosevelt,1933,1945
33,Truman,Democratic,Missouri,5/8/1884,1972/12/26,Baptist,60,88,,Businessman,None,8,harrystruman,1945,1953
34,Eisenhower,Republican,Texas,10/14/1890,1969/3/28,Presbyterian,62,78,,Soldier,US Military Academy,8,dwightdeisenhower,1953,1961
35,Kennedy,Democratic,Massachusetts,1917/5/29,1963/11/22,Roman Catholic,43,46,Assassinated in office,Author,Harvard,3,johnfkennedy,1961,1963
36,L. B. Johnson,Democratic,Texas,1908/8/27,1973/1/22,Disciples of Christ,55,64,,Teacher,Southwest Texas State,5,lyndonbjohnson,1963,1969
37,Nixon,Republican,California,1913/1/9,1994/4/22,Quaker,56,81,Resigned,Lawyer,Whittier,5,richardnixon,1969,1974
38,Ford,Republican,Nebraska,1913/7/14,2006/12/26,Episcopalian,61,,,Lawyer,Michigan,3,geraldford,1974,1977
39,Carter,Democratic,Georgia,1924/10/1,,Southern Baptist,52,,,Businessman,US Naval Academy,4,jimmycarter,1977,1981
40,Reagan,Republican,Illinois,1911/2/6,2004/6/5,Disciples of Christ,69,93,,Actor,Eureka College,8,ronaldreagan,1981,1989
41,G.H.W. Bush,Republican,Massachusetts,1924/6/12,,Episcopalian,64,,,Businessman,Yale,4,georgehwbush,1989,1993
42,Clinton,Democratic,Arkansas,1946/8/19,,Baptist,46,,,Lawyer,Georgetown,8,williamjclinton,1993,2001
43,G. W. Bush,Republican,Connecticut,1946/7/6,,Methodist,54,,,Businessman,Yale,8,georgewbush,2001,2009
44,Obama,Democratic,Hawaii,1961/8/4,,United Church of Christ,47,,,Lawyer,Columbia University,,barackobama,2009,2017
